"legacy_url","legacy_path","source_host","verification_status","page_kind","legacy_title","legacy_meta_description","legacy_canonical","year","client_or_artist","work_title","legacy_category","roles","techniques","language","grouped_page","initial_release_scope","source_evidence","notes"
"https://oikaw.com/","/","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-codex-http-301-then-404-human-browser-live","home","YUSUKE OIKAWA","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/top","","","","","","","en-US","false","true","https://web.archive.org/web/20251015142318/https://oikaw.oikaw.com/","Codex HTTP observed oikaw.com → oikaw.oikaw.com and then 404 on 2026-08-19. Human Validation in normal Chrome confirmed oikaw.oikaw.com displayed normally; environment behavior and production availability are distinct."
"https://oikaw.com/06-emitter","/06-emitter","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 06 Emitter","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/06-emitter","","","06 Emitter","VR Sculpture","","","en-US","false","true","https://web.archive.org/web/20251015143313/https://oikaw.oikaw.com/06-emitter","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/07-luck","/07-luck","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 07 Luck","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/07-luck","","","07 Luck","VR Sculpture","","","en-US","false","true","https://web.archive.org/web/20250912102233/https://oikaw.oikaw.com/07-luck","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/08-daydream","/08-daydream","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 08 Daydream","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/08-daydream","","","08 Daydream","VR Sculpture","","","en-US","false","true","https://web.archive.org/web/20250912104709/https://oikaw.oikaw.com/08-daydream","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/4s4ki","/4s4ki","oikaw.com historical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 4s4ki - 超破滅的思考","","https://oikaw.com/4s4ki","2019","4s4ki","超破滅的思考","Video","Director; Videographer; Editor","","en-US","false","true","https://web.archive.org/web/20200918112009/https://oikaw.com/4s4ki","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/4s4ki-artwork-2020","/4s4ki-artwork-2020","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki's Art Works 2020","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-artwork-2020","2020","4s4ki; 4s4ki, Masayoshi Iimori","おまえのドリームランド (Your Dreamland); NEMNEM REMIX EP; 遺影にイェーイ","Graphic","","","en-US","true","true","https://web.archive.org/web/20251015153443/https://oikaw.oikaw.com/4s4ki-artwork-2020","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-artwork-2021","/4s4ki-artwork-2021","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki's Art Works 2021","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-artwork-2021","2021","4s4ki","FAIRYTALE feat. Zheani ​​​​​​; gemstone feat. Puppet ​​​​​​​; ALICE feat. Smrtdeath","Graphic","","","en-US","true","true","https://web.archive.org/web/20251015153819/https://oikaw.oikaw.com/4s4ki-artwork-2021","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-artwork-2022","/4s4ki-artwork-2022","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki's Art Works 2022","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-artwork-2022","2022","4s4ki","LOG OUT; Freedom Kingdom feat. Swervy","Graphic","","","en-US","true","true","https://web.archive.org/web/20251015154148/https://oikaw.oikaw.com/4s4ki-artwork-2022","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-chouhametsuteki","/4s4ki-chouhametsuteki","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 4s4ki - 超破滅的思考","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-chouhametsuteki","2019","4s4ki","超破滅的思考","Video","Director; Camera; Editor","","en-US","false","true","https://web.archive.org/web/20251015141005/https://oikaw.oikaw.com/4s4ki-chouhametsuteki","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/4s4ki-h-o-h","/4s4ki-h-o-h","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki - Here or Heaven / Here or Hell","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-h-o-h","2021; 2022","4s4ki","Here or Heaven ​​​​​​​; Here or Hell","Graphic","","","en-US","true","true","https://web.archive.org/web/20250912090319/https://oikaw.oikaw.com/4s4ki-h-o-h","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-masayoshi-iimori","/4s4ki-masayoshi-iimori","oikaw.com historical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 4s4ki, Masayoshi Iimori - 遺影にイェーイ","","https://oikaw.com/4s4ki-masayoshi-iimori","2020","4s4ki, Masayoshi Iimori","遺影にイェーイ","Graphic","","","en-US","false","true","https://web.archive.org/web/20220518153845/https://oikaw.com/4s4ki-masayoshi-iimori","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/4s4ki-mvs-2020","/4s4ki-mvs-2020","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [2020]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-2020","2020","4s4ki","おまえのドリームランド; I LOVE ME; 35.5; クロニクル","Video","Director; Camera; Edit; CG; Design","","en-US","true","true","https://web.archive.org/web/20251015145550/https://oikaw.oikaw.com/4s4ki-mvs-2020","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-mvs-2021-1st","/4s4ki-mvs-2021-1st","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [1st Half of 2021]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","2021","4s4ki","FAIRYTALE feat. Zheani; gemstone feat. Puppet; ALICE feat. Smrtdeath; 44 seconds","Video","Director; Camera; Edit; CG; Design; Video","","en-US","true","true","https://web.archive.org/web/20251015145908/https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-mvs-2021-2nd","/4s4ki-mvs-2021-2nd","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [2nd Half of 2021]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","2021","4s4ki","STAR PLAYER; m e l t; OBON; space coaster","Video","Director; Camera; Edit; CG","","en-US","true","true","https://web.archive.org/web/20250912094742/https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-mvs-2022-1st","/4s4ki-mvs-2022-1st","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [1st Half of 2022]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-2022-1st","2022","4s4ki","ブラックホール; 0h G0D!!","Video","Director; Camera; Edit; Photo; Illustration","","en-US","true","true","https://web.archive.org/web/20251015154418/https://oikaw.oikaw.com/4s4ki-mvs-2022-1st","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-mvs-2022-2nd","/4s4ki-mvs-2022-2nd","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-codex-http-404-human-browser-live","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [2nd Half of 2022]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-2022-2nd","2022","4s4ki","LOG OUT; 電脳郷","Video","Director; Camera; Edit; 3DCG","","en-US","true","true","https://web.archive.org/web/20251015134858/https://oikaw.oikaw.com/4s4ki-mvs-2022-2nd","Public archive verified. Codex HTTP returned 404 on 2026-08-19, while Human Validation in normal Chrome confirmed the Adobe Portfolio site displayed normally; do not interpret the Codex response as a production outage. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-mvs-undeadcyborg","/4s4ki-mvs-undeadcyborg","oikaw.com public alias; oikaw.oikaw.com archived canonical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Music Videos [UNDEAD CYBORG]","|| Director, Visual Artist || This page is dedicated to the work of Yusuke Oikawa.","https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","2021","4s4ki","☆メガジョッキ☆; Sugar Junky; REIMEN; 幸福論","Video","Video","","en-US","true","true","https://web.archive.org/web/20251015135830/https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed an HTTP 200 migration compatibility view at this same legacy pathname. Its historical Project subset is fixed by explicit IDs in url-migration-map.csv; it is not a normal-IA Collection or a future filter calculation."
"https://oikaw.com/4s4ki-nemnem-remix","/4s4ki-nemnem-remix","oikaw.com historical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 4s4ki - NEMNEM REMIX EP","","https://oikaw.com/4s4ki-nemnem-remix","2020","4s4ki","NEMNEM REMIX EP","Graphic","","","en-US","false","true","https://web.archive.org/web/20200918112818/https://oikaw.com/4s4ki-nemnem-remix","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
"https://oikaw.com/4s4ki-singles-2021","/4s4ki-singles-2021","oikaw.com historical","archive-verified-live-unchecked","project-group","YUSUKE OIKAWA - 4s4ki Singles [2021 Spring]","","https://oikaw.com/4s4ki-singles-2021","2021","4s4ki","FAIRYTALE feat. Zheani ​​​​​​; gemstone feat. Puppet ​​​​​​​; ALICE feat. Smrtdeath","Graphic","","","en-US","true","true","https://web.archive.org/web/20220518154516/https://oikaw.com/4s4ki-singles-2021","Historical 200 response verified from the public Internet Archive; current live status was not individually tested. Human Validation confirmed this path as a complete alias of /4s4ki-artwork-2021; future Astro static handling uses a zero-second meta refresh with canonical /4s4ki-artwork-2021."
"https://oikaw.com/4s4ki-yourdreamland","/4s4ki-yourdreamland","oikaw.com historical","archive-verified-live-unchecked","project","YUSUKE OIKAWA - 4s4ki - おまえのドリームランド","","https://oikaw.com/4s4ki-yourdreamland","2020","4s4ki","おまえのドリームランド (Your Dreamland)","Graphic","","","en-US","false","true","https://web.archive.org/web/20200918103023/https://oikaw.com/4s4ki-yourdreamland","Historical 200 response verified from the public Internet Archive; current live status was not individually tested."
